time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
67,2000-08-18 11:09,1467,1229,238,1049,0,180,11,237,6.189873,21,13,5.167616,9,5.0162735,128,731,48.164063,1,3,950,5,1.5442106,257,224,23,329,256,307,225,1,972,257,748,51,10,129,164,13,224,69,188,206,542,11,0.8759373,536,340,218,78,35,11,7,1,
68,2000-08-18 11:10,1620,998,622,810,0,188,11,367,4.414169,16,13,5.271543,9,5.039078,162,593,31.04321,1,4,1220,4,1.3278688,161,475,73,339,142,312,125,4,836,161,684,23,113,144,330,144,152,40,121,204,480,11,0.84074074,415,188,199,98,52,20,15,1,2
69,2000-08-18 11:11,1819,821,998,619,0,202,11,318,5.7201257,20,17,5.2838,10,4.951279,164,434,24.786585,1,7,1364,4,1.3335778,183,648,115,281,83,289,112,16,624,183,501,37,316,90,427,348,123,51,132,96,405,12,0.7014843,309,127,173,91,55,34,8,3,2
70,2000-08-18 11:12,2022,1887,135,836,0,1051,11,331,6.1087613,22,14,5.5315313,10,5.300477,170,1352,58.835293,1,9,1413,4,1.4309978,503,123,10,269,326,234,354,27,1358,489,812,155,7,282,89,11,546,299,190,87,725,12,0.9653808,1054,261,197,165,84,50,16,6,1
71,2000-08-18 11:13,1036,930,106,781,0,149,11,241,4.298755,21,15,5.145161,10,4.843011,159,551,28.327044,1,1,762,4,1.35958,199,78,10,154,166,127,151,25,715,191,474,56,9,98,42,19,241,89,102,113,361,13,0.972973,485,147,118,81,42,15,5,5,5
72,2000-08-18 11:14,1884,1335,549,711,0,624,11,523,3.6022944,18,15,5.385768,10,5.1483145,157,823,43.77707,1,4,1386,5,1.3593074,246,456,97,273,111,264,148,34,1073,246,672,70,66,141,333,75,401,103,143,221,451,13,0.61677283,762,253,169,76,24,10,11,3,3
73,2000-08-18 11:15,2427,1967,460,1006,0,961,11,656,3.699695,17,13,5.4651756,11,5.295882,184,1140,56.614132,1,4,1835,4,1.3226159,397,384,89,431,226,470,221,7,1563,394,961,221,75,321,248,76,602,108,286,354,607,10,0.63906056,1100,481,180,130,34,20,7,2,
74,2000-08-18 11:16,2708,2412,296,2019,0,393,11,409,6.621027,20,15,5.3975954,14,5.2475123,193,893,65.580315,0,0,1850,5,1.4637837,227,257,12,495,274,420,239,16,2177,227,1342,59,12,161,177,31,835,82,145,400,942,10,0.80317575,1412,464,235,103,130,24,7,5,11
75,2000-08-18 11:17,2081,1503,578,1150,0,353,11,682,3.0513196,18,16,5.262808,15,4.982036,192,537,39.0,1,1,1558,4,1.3356868,259,510,108,391,206,316,212,0,1244,259,964,15,61,172,392,68,280,99,160,345,619,10,0.849111,785,193,320,67,48,45,23,8,8
76,2000-08-18 11:18,3401,2829,572,1798,0,1031,11,586,5.8037543,18,16,5.2548604,10,4.905267,181,1441,76.66851,1,4,2731,4,1.2453314,267,482,125,1208,183,1170,187,8,2554,267,2144,34,33,200,285,90,410,99,168,380,1764,10,1.2387533,943,344,1072,269,106,50,26,5,3
